Name,City,Island,Latitude,Longitude
SkyCity Auckland,Auckland,North Island ,-36.84879,174.7624
SkyCity Hamilton,Hamilton,North Island ,-37.7865,175.28434
SkyCity Queenstown,Queenstown,South Island,-45.03162,168.66029
Wharf Casino,Queenstown,South Island,-45.03323,168.65821
Dunedin Casino,Dunedin,South Island,-45.87759,170.5013
Christchurch Casino,Christchurch,South Island,-43.5258,172.63325
