Venue Name,Venue Physical Address,Region,Country,Full Address,Latitude,Longitude
THE CLUBHOUSE CAFE & SPORTS BAR,"CAMBRIDGE RACEWAY TAYLOR STREET
CAMBRIDGE
WAIKATO 3434",Waikato,New Zealand,"THE CLUBHOUSE CAFE & SPORTS BAR CAMBRIDGE RACEWAY TAYLOR STREET
CAMBRIDGE
WAIKATO 3434 Waikato New Zealand ",-37.8804291,175.4564838
STAR TAVERN,"58 LYON STREET
KIHIKIHI
WAIKATO 3800",Waikato,New Zealand,"STAR TAVERN 58 LYON STREET
KIHIKIHI
WAIKATO 3800 Waikato New Zealand ",-38.0389004,175.3450239
Peach and Porker,"CORNER ALEXANDRA AND ROCHE STREETS
TE AWAMUTU
WAIKATO 3800",Waikato,New Zealand,"Peach and Porker CORNER ALEXANDRA AND ROCHE STREETS
TE AWAMUTU
WAIKATO 3800 Waikato New Zealand ",-38.0099156,175.3245516
PRINCE ALBERT TAVERN,"75 VICTORIA STREET
CAMBRIDGE
WAIKATO 3434",Waikato,New Zealand,"PRINCE ALBERT TAVERN 75 VICTORIA STREET
CAMBRIDGE
WAIKATO 3434 Waikato New Zealand ",-37.8939018,175.4680481
WAIPA WORKINGMENS CLUB INC,"137 ALBERT PARK DRIVE
TE AWAMUTU
WAIKATO 3800",Waikato,New Zealand,"WAIPA WORKINGMENS CLUB INC 137 ALBERT PARK DRIVE
TE AWAMUTU
WAIKATO 3800 Waikato New Zealand ",-38.01194,175.3278808
SUNSET POINT TAVERN,"CORNER RATAU AND NEWCASTLE STREETS
MAHIA BEACH
HAWKES BAY 4192",Hawke's Bay,New Zealand,"SUNSET POINT TAVERN CORNER RATAU AND NEWCASTLE STREETS
MAHIA BEACH
HAWKES BAY 4192 Hawke's Bay New Zealand ",-39.085773,177.8750615
FERRY HOTEL,"CAROLL STREET
WAIROA
HAWKES BAY 4192",Hawke's Bay,New Zealand,"FERRY HOTEL CAROLL STREET
WAIROA
HAWKES BAY 4192 Hawke's Bay New Zealand ",-39.0303522,177.417106
THE LAST POST,"12 THAMES STREET
OAMARU
OAMARU 9400",Canterbury,New Zealand,"THE LAST POST 12 THAMES STREET
OAMARU
OAMARU 9400 Canterbury New Zealand ",-45.1012506,170.9688149
WAIHEMO LODGE HOTEL,"13-15 RUNBRAKE STREET
PALMERSTON
NORTH OTAGO 9061",Canterbury,New Zealand,"WAIHEMO LODGE HOTEL 13-15 RUNBRAKE STREET
PALMERSTON
NORTH OTAGO 9061 Canterbury New Zealand ",-45.4833333,170.7169444
Boots & Jandals Hotel,"STATE HIGHWAY 8
OMARAMA
NORTH OTAGO 8950",Canterbury,New Zealand,"Boots & Jandals Hotel STATE HIGHWAY 8
OMARAMA
NORTH OTAGO 8950 Canterbury New Zealand ",-44.4876981,169.9660763
OAMARU CLUB,"32 SEVERN STREET
OAMARU
OAMARU 9400",Canterbury,New Zealand,"OAMARU CLUB 32 SEVERN STREET
OAMARU
OAMARU 9400 Canterbury New Zealand ",-45.0986977,170.9668923
NORTHSTAR MOTELS RESTAURANT AND BAR,"495A THAMES STREET
OAMARU
OAMARU 9400",Canterbury,New Zealand,"NORTHSTAR MOTELS RESTAURANT AND BAR 495A THAMES STREET
OAMARU
OAMARU 9400 Canterbury New Zealand ",-45.0729877,170.9900524
SPORTS CENTRAL BREWHOUSE,"CORNER WEAR AND THAMES STREETS
OAMARU
OAMARU 9400",Canterbury,New Zealand,"SPORTS CENTRAL BREWHOUSE CORNER WEAR AND THAMES STREETS
OAMARU
OAMARU 9400 Canterbury New Zealand ",-45.0990943,170.9716186
OTEMATATA DISTRICT CLUB,"Sefton Lane
OTEMATATA
NORTH OTAGO 9412
NEW ZEALAND",Canterbury,New Zealand,"OTEMATATA DISTRICT CLUB Sefton Lane
OTEMATATA
NORTH OTAGO 9412
NEW ZEALAND Canterbury New Zealand ",-44.6034496,170.1920259
WAITAKI HOTEL,"37 BLEDISLOE STREET
KUROW
NORTH OTAGO 9435",Canterbury,New Zealand,"WAITAKI HOTEL 37 BLEDISLOE STREET
KUROW
NORTH OTAGO 9435 Canterbury New Zealand ",-44.7338301,170.4699685
HAMPDEN TAVERN,"27 LONDON STREET
HAMPDEN
NORTH OTAGO 8950",Canterbury,New Zealand,"HAMPDEN TAVERN 27 LONDON STREET
HAMPDEN
NORTH OTAGO 8950 Canterbury New Zealand ",-45.3246599,170.8170963
"Otematata Eatery, Bar & Lodging","2736 OTEMATATA KUROW ROAD
OTEMATATA
NORTH OTAGO 8950",Canterbury,New Zealand,"Otematata Eatery, Bar & Lodging 2736 OTEMATATA KUROW ROAD
OTEMATATA
NORTH OTAGO 8950 Canterbury New Zealand ",-44.6032717,170.1949583
KUROW HOTEL,"55 BLEDISLOE STREET
KUROW
NORTH OTAGO 9435",Canterbury,New Zealand,"KUROW HOTEL 55 BLEDISLOE STREET
KUROW
NORTH OTAGO 9435 Canterbury New Zealand ",-44.732603,170.46963
GALLEON COMPLEX,"500 THAMES HIGHWAY
OAMARU
OAMARU 9400",Canterbury,New Zealand,"GALLEON COMPLEX 500 THAMES HIGHWAY
OAMARU
OAMARU 9400 Canterbury New Zealand ",-45.0688339,170.9929636
THE MUSTER BAR,"34-36 TAUPIRI STREET
TE KUITI
WAIKATO 2500",Waikato,New Zealand,"THE MUSTER BAR 34-36 TAUPIRI STREET
TE KUITI
WAIKATO 2500 Waikato New Zealand ",-38.3332765,175.1650244
PIOPIO COSMOPOLITAN CLUB INCORPORATED,"42 MOA STREET
PIOPIO
WAIKATO 2555",Waikato,New Zealand,"PIOPIO COSMOPOLITAN CLUB INCORPORATED 42 MOA STREET
PIOPIO
WAIKATO 2555 Waikato New Zealand ",-38.4655688,175.0168884
QUOTA CLUB TE KUITI,"71 TAUPIRI STREET
TE KUITI
WAIKATO 2500",Waikato,New Zealand,"QUOTA CLUB TE KUITI 71 TAUPIRI STREET
TE KUITI
WAIKATO 2500 Waikato New Zealand ",-38.3356944,175.1681688
Riverside Lodge,"1 RIVERSIDE LANE
TE KUITI
WAIKATO 2500",Waikato,New Zealand,"Riverside Lodge 1 RIVERSIDE LANE
TE KUITI
WAIKATO 2500 Waikato New Zealand ",-38.3338192,175.1672127
WAITOMO CLUB INCORPORATED,"KING STREET
TE KUITI
WAIKATO 2500",Waikato,New Zealand,"WAITOMO CLUB INCORPORATED KING STREET
TE KUITI
WAIKATO 2500 Waikato New Zealand ",-38.3328445,175.1652358
CASTLECLIFF CLUB INC,"4 TENNYSON STREET
CASTLECLIFF
WANGANUI DISTRICT 4501
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"CASTLECLIFF CLUB INC 4 TENNYSON STREET
CASTLECLIFF
WANGANUI DISTRICT 4501
NEW ZEALAND Manawatu-Wanganui New Zealand ",-39.9421605,174.9927026
STELLAR BAR,"2 VICTORIA STREET
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"STELLAR BAR 2 VICTORIA STREET
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.9347034,175.0552967
CASTLECLIFF HOTEL,"1 POLSON STREET
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"CASTLECLIFF HOTEL 1 POLSON STREET
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.9426794,174.9940098
SHOTZ,"75 GUYTON STREET
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"SHOTZ 75 GUYTON STREET
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.931231,175.0502727
TANDOORI SPICE BAR,"88 GUYTON STREET
WANGANUI
WANGANUI DISTRICT 4540",Manawatu-Wanganui,New Zealand,"TANDOORI SPICE BAR 88 GUYTON STREET
WANGANUI
WANGANUI DISTRICT 4540 Manawatu-Wanganui New Zealand ",-39.9318431,175.0492125
