name,outlet_type,address,city,region,latitude,longitude
Havelock Hotel,PubTAB Self Service Only,"54 Main Road, Havelock, Nelson, New Zealand",Nelson,Nelson,-41.2793875,173.7672542
Hardys Bar,PubTAB Full Service,"135 Hardys Street, Nelson, New Zealand",Nelson,Nelson,-41.274078,173.282395
New Street Steakhouse,PubTAB Self Service Only,"58 Collingwood Street, Nelson, New Zealand",Nelson,Nelson,-41.2716576,173.2868471
Ocean Lodge Hotel,PubTAB Full Service,"20 Muritai Street, Nelson, New Zealand",Nelson,Nelson,-41.2830244,173.2473213
Shiftys Bar,PubTAB Full Service,"2 Nugent Street, Bell Block, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.0355545,174.14215
Fitzroy Branch,TAB Store,"545 Devon Street East, Fitzroy, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.0493711,174.1014504
New Plymouth Branch,TAB Store,"Unit 10, 4 Egmont Street, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.0570001,174.0699922
Nag N Noggin,PubTAB Full Service,"57 Tukapa Street, Westown, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.0716676,174.0620283
Rahotu Tavern,PubTAB Full Service,"5787 South Road, Rahotu, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.3279679,173.8034278
The Salty Dog,PubTAB Full Service,"495 St Aubyn Street, Moturoa, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.0631895,174.0456918
Stumble Inn,PubTAB Self Service Only,"198 Mangorei Road, Merrilands, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.0663239,174.1028512
Sportys Cafe & Bar,PubTAB Full Service,"50 Sackville Street, Fitzroy, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.0488759,174.1018029
Icons Bar,PubTAB Full Service,"7 Brougham Street, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.0574588,174.0727618
New Plymouth Club,PubTAB Full Service,"49-57 Gill Street, New Plymouth, New Zealand",New Plymouth,Taranaki,-39.0559347,174.0762287
Delta Hotel,PubTAB Self Service Only,"2 Market Street, Ngaruawahia, New Zealand",Ngaruawahia,Waikato,-37.6645067,175.1484279
Ngatea Hotel,PubTAB Full Service,"32 Orchard Road, Ngatea, New Zealand",Ngatea,Waikato,-37.2758333,175.4952778
Brownzy Sports Bar,PubTAB Full Service,"775 Beach Road, Browns Bay, North Shore City, New Zealand",North Shore City,Auckland,-36.7152416,174.7431807
The Postmans Leg,PubTAB Full Service,"Glenfield Road & Downing Street, Glenfield, North Shore City, New Zealand",North Shore City,Auckland,-36.783506,174.7214194
The Dark Horse,PubTAB Full Service,"70 Parkway Drive, Mairangi Bay, North Shore City, New Zealand 0632",North Shore City,Auckland,-36.7504862,174.7288399
Pats Garage,PubTAB Full Service,"31 Northcote Road, Northcote, North Shore City, New Zealand",North Shore City,Auckland,-36.7919965,174.7480106
Northcote Tavern,PubTAB Full Service,"37 Queen Street, Northcote, North Shore City, New Zealand",North Shore City,Auckland,-36.8225455,174.7482928
Birkenhead RSA,ClubTAB Self Service Only,"Recreation Drive, Birkenhead, North Shore city, New Zealand",North Shore city,Auckland,-36.8055943,174.7242625
Belmont Bar,PubTAB Self Service Only,"148 Lake Road, Belmont, North Shore City, New Zealand",North Shore City,Auckland,-36.8078282,174.790314
Ruakaka Tavern,PubTAB Full Service,"Marsden Point Road, Ruakaka, Northland, New Zealand",Northland,Northland,-35.879231,174.4537138
Sunset Point Mahia,PubTAB Self Service Only,"2 Ratau Street, RD 8, Nuhaka, New Zealand",Nuhaka,Hawke's Bay,-39.0430136,177.7402526
Sports Central Brewhouse,PubTAB Full Service,"1 Wear Street, Oamaru, New Zealand",Oamaru,Otago,-45.099203,170.971809
Northstar Restaurant & Bar,PubTAB Self Service Only,"495A Thames Highway, Oamaru, New Zealand",Oamaru,Otago,-45.072943,170.9900182
Oamaru Club,ClubTAB Self Service Only,"32 Severn Street, Oamaru, New Zealand",Oamaru,Otago,-45.09869,170.9668854
Ohakune Club,PubTAB Full Service,"71 Goldfinch Street, Ohakune, New Zealand",Ohakune,Manawatu-Wanganui,-39.4130384,175.4034279
Ohope Club,ClubTAB Self Service Only,"2 Bluett Road, Ohope, New Zealand",Ohope,Bay of Plenty,-37.9724182,177.0586368
Opononi Hotel,PubTAB Full Service,"State Highway 12, Opononi, New Zealand",Opononi,Northland,-35.4958461,173.4128387
Masonic Hotel Opotiki,PubTAB Self Service Only,"121 Church Street, Opotiki, New Zealand",Opotiki,Bay of Plenty,-38.0039847,177.28435
Opotiki County RSA,ClubTAB Self Service Only,"103-105 St John Street, Opotiki, New Zealand",Opotiki,Bay of Plenty,-38.0056365,177.2868562
Club Hotel Opunake,PubTAB Self Service Only,"100 Tasman Street, Opunake, New Zealand",Opunake,Taranaki,-39.454244,173.8583502
The Horse and Harp,PubTAB Full Service,"304 Hibiscus Coast Highway, Orewa, New Zealand",Orewa,Auckland,-36.5876964,174.6965336
The Tele,PubTAB Full Service,"284 Rangiuru Road, Otaki, New Zealand",Otaki,Wellington,-40.7519995,175.1369171
Railway Hotel Otaki,PubTAB Self Service Only,"6 Arthur Street, Otaki, New Zealand",Otaki,Wellington,-40.7624195,175.1560854
Otorohanga Club,PubTAB Full Service,"107 Maniapoto Street, Otorohanga, New Zealand",Otorohanga,Waikato,-38.1882778,175.2104481
Paeroa Hotel New,PubTAB Full Service,"4 Belmont Road, Paeroa, New Zealand",Paeroa,Waikato,-37.3769546,175.6680104
Ohinemuri Club,PubTAB Full Service,"Princess Street, Paeroa, New Zealand",Paeroa,Waikato,-37.3816314,175.6708484
Post Office Pahiatua,PubTAB Full Service,"164 Main Street, Pahiatua, New Zealand",Pahiatua,Manawatu-Wanganui,-40.456369,175.8371035
Tararua Club,ClubTAB Self Service Only,"15 Tararua Street, Pahiatua, New Zealand",Pahiatua,Manawatu-Wanganui,-40.4498474,175.8403382
Paihia Exservicemens Association,ClubTAB Self Service Only,"Joyces Road, Paihia, New Zealand",Paihia,Northland,-35.2847797,174.0876009
The Paihia Sports Bar,PubTAB Self Service Only,"10 Selwyn Road, Paihia, New Zealand",Paihia,Northland,-35.281973,174.0905514
Waihemo Lodge Hotel,PubTAB Self Service Only,"13 Runbrake Street, Palmerston, New Zealand",Palmerston,Otago,-45.483316,170.7170715
Castle 789,PubTAB Self Service Only,"789 Main Street, Roslyn, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3475478,175.629851
Cloverlea Tavern,PubTAB Full Service,"301 Tremaine Avenue, Highbury, Palmerston North, New Zealand",Palmerston North,Manawatu-Wanganui,-40.3512383,175.5836792
