name,outlet_type,address,city,region,latitude,longitude
Palace Hotel,PubTAB Self Service Only,"165 Whitaker Street, Te Aroha, New Zealand",Te Aroha,Waikato,-37.5431398,175.7118901
Star Tavern,PubTAB Self Service Only,"58 Lyon Street, Kihikihi, Te Awamutu, New Zealand",Te Awamutu,Waikato,-38.0389158,175.3450253
The Firkin Sports Bar,PubTAB Full Service,"235 Sloane Street, Te Awamutu, New Zealand",Te Awamutu,Waikato,-38.0124029,175.3260638
The Oval Sports Bar,PubTAB Full Service,"1/670 Cambridge Road, Te Awamutu, New Zealand",Te Awamutu,Waikato,-38.0067827,175.3394964
Waipa WMC,PubTAB Full Service,"139 Albert Park Road, Te Awamutu, New Zealand",Te Awamutu,Waikato,-38.0121322,175.3277057
Rangiriri Hotel,PubTAB Full Service,"Talbot Street, Rangiriri, Te Kauwhata, New Zealand",Te Kauwhata,Waikato,-37.4298242,175.133673
Riverside Lodge,PubTAB Self Service Only,"1 Riverside Lane, Te Kuiti, New Zealand",Te Kuiti,Waikato,-38.3337033,175.1672854
Waitomo Club,ClubTAB Self Service Only,"King Street East, Te Kuiti, New Zealand",Te Kuiti,Waikato,-38.3330924,175.1657869
Stadium Sports Bar Te Puke,PubTAB Full Service,"91 Jellicoe Street, Te Puke, New Zealand",Te Puke,Bay of Plenty,-37.7847325,176.3270735
Crown Hotel,PubTAB Full Service,"64 King Street, Temuka, New Zealand",Temuka,Canterbury,-44.2456424,171.2781749
Punters Sports Bar,PubTAB Full Service,"719 Pollen Street, Thames, New Zealand",Thames,Waikato,-37.1350946,175.5401135
Ascot Sports House,PubTAB Self Service Only,"198 Hilton Highway, Washdyke, Timaru, New Zealand",Timaru,Canterbury,-44.3554276,171.2378194
Old Bank Cafe & Bar,PubTAB Full Service,"5 Church Street, Timaru, New Zealand",Timaru,Canterbury,-44.3955292,171.2520774
Richard Pearse Tavern,PubTAB Full Service,"118 Le Cren Street, Timaru, New Zealand",Timaru,Canterbury,-44.3953776,171.2396213
Timaru Town & Country Club,ClubTAB Self Service Only,"99 Douglas Street, Timaru, New Zealand",Timaru,Canterbury,-44.3854871,171.2259244
Tinwald Tavern,PubTAB Full Service,"102/3 Archibald Street, Tinwald, New Zealand",Tinwald,Canterbury,-43.9136804,171.731819
Trees Tavern Tokoroa,PubTAB Full Service,"1-5 Balmoral Drive, Tokoroa, New Zealand",Tokoroa,Waikato,-38.2335,175.8790908
Tokoroa Club,ClubTAB Self Service Only,"Chambers Street, Tokoroa, New Zealand",Tokoroa,Waikato,-38.2145996,175.8686488
Tokoroa Cosmopolitan Club,ClubTAB Self Service Only,"275 Balmoral Drive, Tokoroa, New Zealand",Tokoroa,Waikato,-38.2325983,175.8533487
Elsie's Restaurant & Bar,PubTAB Full Service,"3 George Street, Tuakau, New Zealand",Tuakau,Waikato,-37.2576315,174.9471655
Tuakau Cosy Club,PubTAB Full Service,"11 Carr Street, Tuakau, New Zealand",Tuakau,Waikato,-37.2601366,174.9482394
Turangi Tavern,PubTAB Full Service,"277 Te Rangitautahanga Road, Turangi, New Zealand",Turangi,Waikato,-38.9902063,175.809324
Top Hut Sports Bar,PubTAB Full Service,"13 Tasman Road, Twizel, New Zealand",Twizel,Canterbury,-44.257845,170.0978804
Charltons Silverstream,PubTAB Self Service Only,"Shop 9, The Village, Silverstream, Upper Hutt, New Zealand",Upper Hutt,Wellington,-41.1476959,175.011485
The Tote and Furnace,PubTAB Full Service,"74 Ararino Street, Trentham, Upper Hutt, New Zealand",Upper Hutt,Wellington,-41.1377588,175.037099
Upper Hutt Cosi Club,PubTAB Full Service,"11 Logan Street, Upper Hutt, New Zealand",Upper Hutt,Wellington,-41.1223194,175.0720911
Upper Hutt TAB,TAB Store,"44 Main Street, Upper Hutt, New Zealand",Upper Hutt,Wellington,-41.1249144,175.0673145
7 Bar,PubTAB Self Service Only,"3 King Street, Upper Hutt, New Zealand",Upper Hutt,Wellington,-41.1236313,175.0748743
Quinns Post Hotel Wgtn,PubTAB Full Service,"2 Ward Street, Upper Hutt, New Zealand",Upper Hutt,Wellington,-41.1269615,175.0534231
Rimutaka Tavern,PubTAB Full Service,"1223-1253 Fergusson Drive, Upper Hutt, New Zealand",Upper Hutt,Wellington,-41.1078065,175.0976109
Urenui Hotel,PubTAB Self Service Only,"14 Whakapaki Street, Urenui, New Zealand",Urenui,Taranaki,-38.9972662,174.3892929
Waiheke RSA,PubTAB Self Service Only,"29 Belgium Street, Ostend, Waiheke Island, New Zealand",Waiheke Island,Auckland,-36.7961918,175.0474578
Commercial Hotel Waihi,PubTAB Full Service,"6 Seddon Street, Waihi, New Zealand",Waihi,Bay of Plenty,-37.3922061,175.8392855
Waihi Beach Hotel,PubTAB Self Service Only,"60 Wilson Road, Waihi Beach, New Zealand",Waihi Beach,Bay of Plenty,-37.4088245,175.9376906
Waihi Beach Memorial RSA,ClubTAB Self Service Only,"99 Beach Road, Waihi Beach, New Zealand",Waihi Beach,Bay of Plenty,-37.4066061,175.9361295
Waihou Tavern,PubTAB Full Service,"State Highway 26, RD 3, Waihou, New Zealand",Waihou,Waikato,-37.5738065,175.6748264
Waikanae Chartered Club,PubTAB Full Service,"8 Elizabeth Street, Waikanae, New Zealand",Waikanae,Wellington,-40.8779862,175.065793
Golden Fleece Hotel,PubTAB Full Service,"Main Road, Waikouaiti, New Zealand",Waikouaiti,Otago,-45.5955482,170.6703988
Royal Tavern,PubTAB Full Service,"30 Shearman Street, Waimate, New Zealand",Waimate,Canterbury,-44.7326855,171.0456608
Palliser Hotel,PubTAB Full Service,"11 Moores Valley Rd, Wainuiomata, New Zealand",Wainuiomata,Wellington,-41.271762,174.9552301
Skinny Mulligans,PubTAB Full Service,"Islington Drive, Waipawa, New Zealand",Waipawa,Hawke's Bay,-39.9429078,176.5872304
Waipu Hotel,PubTAB Self Service Only,"4 South Road, Waipu, New Zealand",Waipu,Northland,-35.9854532,174.4473781
Leopard Hotel,PubTAB Full Service,"Ruataniwha Street, Waipukurau, New Zealand",Waipukurau,Hawke's Bay,-39.9955329,176.5563149
Wairoa Club,PubTAB Full Service,"Marine Parade & Paul Street, Wairoa, New Zealand",Wairoa,Hawke's Bay,-39.0338474,177.4184146
Clyde Hotel,PubTAB Self Service Only,"162 Marine Parade, Wairoa, New Zealand",Wairoa,Hawke's Bay,-39.0334901,177.4210984
Waitara Services & Citizens Club,PubTAB Full Service,"16 Queen Street, Waitara, New Zealand",Waitara,Taranaki,-39.0020172,174.2382409
Waitara T&C Club(office),ClubTAB Self Service Only,"33/39 West Quay, Waitara, New Zealand",Waitara,Taranaki,-39.0000577,174.2383656
Waiuku Cosy Club,PubTAB Full Service,"4 Victoria Avenue, Waiuku, New Zealand",Waiuku,Auckland,-37.2513527,174.7326043
Kentish Hotel,PubTAB Full Service,"5 Queen Street, Waiuku, New Zealand",Waiuku,Auckland,-37.2483377,174.7299227
The Bullock Bar,PubTAB Full Service,"71 Ardmore Street, Wanaka, New Zealand",Wanaka,Otago,-44.6942015,169.1374559
Lake Bar,PubTAB Self Service Only,"155 Ardmore street, Wanaka, New Zealand",Wanaka,Otago,-44.6959344,169.1335293
Wanganui East Club,PubTAB Full Service,"101 Wakefield Street, Wanganui East, Wanganui, New Zealand",Wanganui,Manawatu-Wanganui,-39.9171857,175.0754569
Castlecliff Club,ClubTAB Self Service Only,"Tennyson Street, Castlecliff, Wanganui, New Zealand",Wanganui,Manawatu-Wanganui,-39.9422025,174.9922237
Sportz Bar,PubTAB Full Service,"197 Victoria Avenue, Wanganui, New Zealand",Wanganui,Manawatu-Wanganui,-39.9306099,175.0477981
St Johns Club,PubTAB Full Service,"158 Glasgow Street, Wanganui, New Zealand",Wanganui,Manawatu-Wanganui,-39.9248273,175.0398252
Club Metro,ClubTAB Self Service Only,"13 Ridgeway Street, Wanganui, New Zealand",Wanganui,Manawatu-Wanganui,-39.9324473,175.055628
Warkworth Inn,PubTAB Full Service,"9 Queen Street, Shop 4, Warkworth, New Zealand",Warkworth,Northland,-36.3976519,174.6651789
Rusty Pelican,PubTAB Self Service Only,"1001 Matakana Road, Matakana, Warkworth, New Zealand",Warkworth,Northland,-36.3525437,174.7174774
Warkworth & Districts RSA,PubTAB Self Service Only,"28 Neville Street, Warkworth, New Zealand",Warkworth,Northland,-36.399887,174.6640848
Courtenay Place Branch,TAB Store,"89 Courtenay Place, Wellington Central, Wellington, New Zealand",Wellington,Wellington,-41.2930456,174.7794139
Naenae,TAB Store,"33 Hillary Court, Lower Hutt, Wellington, New Zealand",Wellington,Wellington,-41.1983544,174.9479622
Newtown Branch,TAB Store,"225 Riddiford Street, Newtown, Wellington, New Zealand",Wellington,Wellington,-41.3153516,174.7805141
Johnsonville,TAB Store,"28 Johnsonville Road, Johnsonville, Wellington, New Zealand",Wellington,Wellington,-41.2228985,174.80693
Wainuiomata Branch,TAB Store,"10A The Strand, Wainuiomata, Wellington, New Zealand",Wellington,Wellington,-41.2597209,174.9426132
Bay 66,PubTAB Full Service,"66 Bay Road, Kilbirnie, Wellington, New Zealand",Wellington,Wellington,-41.3194634,174.7941449
888 Sport Bar & Restaurant,PubTAB Self Service Only,"207-209 Main Road, Tawa, Wellington, New Zealand",Wellington,Wellington,-41.1688634,174.8247819
Four Kings,PubTAB Full Service,"Hope Gibbons Building, 7-11 Dixon Street, Wellington, New Zealand",Wellington,Wellington,-41.292409,174.778383
Island Bay Bar,PubTAB Full Service,"134 The Parade, Island Bay, Wellington, New Zealand",Wellington,Wellington,-41.3344999,174.7732456
Clockwork Gold,PubTAB Full Service,"191 Main Road, Tawa, Wellington, New Zealand",Wellington,Wellington,-41.1694849,174.8247155
The Realm,PubTAB Full Service,"7 Moxham Avenue, Hataitai, Wellington, New Zealand",Wellington,Wellington,-41.3046708,174.7940488
Newlands Arms,PubTAB Self Service Only,"15 Batchelor Street, Newlands, Wellington, New Zealand",Wellington,Wellington,-41.2232884,174.821602
Johnsonville Club,PubTAB Full Service,"1 Norman Lane, Johnsonville, Wellington, New Zealand",Wellington,Wellington,-41.2232361,174.8085049
Shepherds Arms Hotel,PubTAB Self Service Only,"285 Tinakori Road, Thorndon, Wellington, New Zealand",Wellington,Wellington,-41.2783227,174.7700756
The Pickle Jar,PubTAB Self Service Only,"5 Parkvale Road, Karori, Wellington, New Zealand",Wellington,Wellington,-41.2843219,174.7370239
Khandallah Trading Company,PubTAB Self Service Only,"5 Ganges Road, Khandallah, Wellington, New Zealand",Wellington,Wellington,-41.2465181,174.7910411
Strathmore Local Restaurant & Bar,PubTAB Self Service Only,"3/5 Strathmore Avenue, Strathmore, Wellington, New Zealand",Wellington,Wellington,-41.3251801,174.8205801
Brooklyn Bar and Bistro,PubTAB Self Service Only,"55 Cleveland Street, Brooklyn, Wellington, New Zealand",Wellington,Wellington,-41.3053213,174.7639897
The Corner Bar,PubTAB Self Service Only,"Bay & Rongotai Roads, Kilbirnie, Wellington, New Zealand",Wellington,Wellington,-41.3177909,174.7948019
Victoria Bowling Club,PubTAB Self Service Only,"125 Pirie Street, Mt Victoria, Wellington, New Zealand",Wellington,Wellington,-41.2985019,174.7890396
Cambridge Hotel Wgtn,PubTAB Full Service,"28 Cambridge Terrace, Wellington, New Zealand",Wellington,Wellington,-41.2950726,174.7827443
The Bond Sports Bar,PubTAB Full Service,"12 Bond Street, Wellington, New Zealand",Wellington,Wellington,-41.2890935,174.7754581
Featherston Bar & Grill,PubTAB Self Service Only,"Featherston & Johnston Streets, Wellington, New Zealand",Wellington,Wellington,-41.282917,174.7772186
Green Man Wellington,PubTAB Self Service Only,"Cnr Victoria & Willeston Streets, Wellington, New Zealand",Wellington,Wellington,-41.2867228,174.7770872
Trax Branch,TAB Store,"Wellington Railway Station, Cnr Featherston Street & Platform 1/Bunny Street, Wellington Central, New Zealand",Wellington Central,Wellington,-41.279214,174.78034
Wellsford Inn,PubTAB Full Service,"184 Rodney Street, Wellsford, New Zealand",Wellsford,Auckland,-36.2935669,174.5242248
Te Atatu Tavern,PubTAB Self Service Only,"3 Pringle Road, Te Atatu Peninsula, West Auckland, New Zealand",West Auckland,Auckland,-36.8423091,174.653274
Henderson RSA,ClubTAB Self Service Only,"66/70 Railside Avenue, Henderson, West Auckland, New Zealand",West Auckland,Auckland,-36.8823708,174.6313347
Black & White Hotel,PubTAB Full Service,"198 Palmerston Street, Westport, New Zealand",Westport,West Coast,-41.7557557,171.5985123
The Kope Turf Bar,PubTAB Full Service,"9 James Street, Kopeopeo, Whakatane, New Zealand",Whakatane,Bay of Plenty,-37.9615398,176.9812032
The Office,PubTAB Self Service Only,"80/82 The Strand, Whakatane, New Zealand",Whakatane,Bay of Plenty,-37.9502718,176.9979101
Whakatane RSA,ClubTAB Self Service Only,"13 Richardson Street, Whakatane, New Zealand",Whakatane,Bay of Plenty,-37.9535693,176.9940651
Bucks Sports Bar & Grill,PubTAB Full Service,"100 Casement Road, Whangamata, New Zealand",Whangamata,Waikato,-37.2043138,175.8728065
Whangamata Club,ClubTAB Self Service Only,"404 Port Road, Whangamata, New Zealand",Whangamata,Waikato,-37.2097213,175.8698745
Wanganui TAB,TAB Store,"5A Puriri Street, Gonville, Whanganui, New Zealand",Whanganui,Manawatu-Wanganui,-39.9414444,175.0220034
Stables Bar,PubTAB Full Service,"5/707 Whangaparaoa Road, Stanmore Bay, Whangaparaoa, New Zealand",Whangaparaoa,Auckland,-36.6354509,174.7459185
Onerahi Tavern,PubTAB Full Service,"Waverley Street & Onerahi Road, Onerahi, Whangarei, New Zealand",Whangarei,Northland,-35.7543486,174.3683532
Triple Crown,PubTAB Full Service,"Unit C, 47 Vine Street, Whangarei, New Zealand",Whangarei,Northland,-35.7264939,174.3206678
Kamo Club,PubTAB Full Service,"7/11 Meldrum Street, Kamo, Whangarei, New Zealand",Whangarei,Northland,-35.6807059,174.3016047
Parua Bay Tavern,PubTAB Self Service Only,"1034 Whangarei Heads Road, RD 4, Whangarei, New Zealand",Whangarei,Northland,-35.7728484,174.4517783
Kensington Tavern,PubTAB Full Service,"Davies Street & Kensington Avenue, Whangarei, New Zealand",Whangarei,Northland,-35.7086454,174.3208956
Grand Hotel Whangarei,PubTAB Self Service Only,"2 Bank Street, Whangarei, New Zealand",Whangarei,Northland,-35.7263411,174.3193674
Judge House of Ale,PubTAB Self Service Only,"57 Walton Street, Whangarei, New Zealand",Whangarei,Northland,-35.7259395,174.3225669
Northland Club,ClubTAB Self Service Only,"8 Porowini Avenue, Whangarei, New Zealand",Whangarei,Northland,-35.7295354,174.3163107
Tote & Poke Sports Bar,PubTAB Full Service,"79 Cameron Street, Whangarei, New Zealand",Whangarei,Northland,-35.7262461,174.3213324
Frankies Sports Bar & Grill,PubTAB Full Service,"37 Albert Street, Whitianga, New Zealand",Whitianga,Waikato,-36.8336523,175.7044207
Mercury Bay Club,ClubTAB Self Service Only,"Cook Drive & Campbell Street, Whitianga, New Zealand",Whitianga,Waikato,-36.835231,175.700909
Central Southland Lodge,PubTAB Full Service,"232 Great North Road, Winton, New Zealand",Winton,Southland,-46.1431348,168.3250863
The Woodend Tavern,PubTAB Self Service Only,"51 Main North Road, Woodend, New Zealand",Woodend,Canterbury,-43.3233615,172.665422
New Central Motor Inn,PubTAB Self Service Only,"63-65 Vogel Street, Woodville, New Zealand",Woodville,Manawatu-Wanganui,-40.3372186,175.8677881
Three Rivers Hotel,PubTAB Self Service Only,"17 Redan Street, Wyndham, New Zealand",Wyndham,Southland,-46.3281815,168.8495913
